"","Project.ID","Deployment.id_new","Unit","Site","Settlements","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff_new","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri","Transect_date","Canis aureus","Canis lupus","Gazella gazella","Hystrix indica","Meles meles","Sus scrofa","Vulpes vulpes","Distance_rescaled","Distance.Agri_rescaled"
"1","T0","Gamla Far CA11","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,4,2,0,0,7,0,1.8205882982842,1.73339168558701
"2","T0","Gamla Far CA21","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,6,0,0,6,0,1.8205882982842,1.73339168558701
"3","T0","Gamla Far CA22","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,1,0,0,0,0,1.8205882982842,1.73339168558701
"4","T0","Gamla Far CA23","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",1,0,0,0,0,0,0,1.8205882982842,1.73339168558701
"5","T0","Gamla Far CA25","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",2,0,0,3,0,0,0,1.8205882982842,1.73339168558701
"6","T0","Gamla Far CA30","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,0,0,0,0,1,1.8205882982842,1.73339168558701
"7","T0","Gamla Far CA31","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,44,0,0,7,0,1.8205882982842,1.73339168558701
"8","T0","Gamla Far CA34","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",3,0,1,0,0,12,0,1.8205882982842,1.73339168558701
"9","T0","Gamla Far CA7","Herbaceous and Dwarf Shrub Vegetation","Gamla","Far",35.74769,32.917469,25/06/14, 787,-1.13445554663547,4,-0.756802495307928,-0.653643620863612,4159.040426,"Gamla Far",2763.614907,"Gamla Far 25/06/14",0,0,7,0,2,17,1,1.8205882982842,1.73339168558701
"10","T0","Karei Deshe Far CA10","Herbaceous and Dwarf Shrub Vegetation","Karei Deshe","Far",35.58239,32.92394,06/07/14, 798,-1.12561426391538,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",1,0,9,0,0,0,1,-0.241957530570575,-0.424979367225742
"11","T0","Karei Deshe Far CA12","Herbaceous and Dwarf Shrub Vegetation","Karei Deshe","Far",35.58239,32.92394,06/07/14, 798,-1.12561426391538,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",0,0,2,1,0,0,0,-0.241957530570575,-0.424979367225742
"12","T0","Karei Deshe Far CA26","Herbaceous and Dwarf Shrub Vegetation","Karei Deshe","Far",35.58239,32.92394,06/07/14, 798,-1.12561426391538,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",7,0,1,3,0,2,0,-0.241957530570575,-0.424979367225742
"13","T0","Karei Deshe Far CA29","Herbaceous and Dwarf Shrub Vegetation","Karei Deshe","Far",35.58239,32.92394,06/07/14, 798,-1.12561426391538,15,0.650287840157117,-0.759687912858821,1603.862858,"Karei Deshe Far",745.790268,"Karei Deshe Far 06/07/14",2,0,2,0,0,0,1,-0.241957530570575,-0.424979367225742
