Distance,Distance_rescaled,Transect,Gazella gazella,Meles meles,,,Distance,Distance_rescaled,Transect,Hystrix indica,
801.0262381,-0.167173007,Bat Shlomo Far,5,0,,,630.081895,-0.326472648,Bat Shlomo Far,0,
965.0285318,-0.014342525,Bat Shlomo Far,5,0,,,658.414196,-0.300070339,Bat Shlomo Far,0,
1017.53259,0.034584965,Bat Shlomo Far,5,0,,,683.764412,-0.276446976,Bat Shlomo Far,0,
829.1353233,-0.140978709,Bat Shlomo Far,3,0,,,685.9548327,-0.274405766,Bat Shlomo Far,1,
843.819212,-0.127295084,Bat Shlomo Far,3,4,,,708.386632,-0.253502018,Bat Shlomo Far,2,
915.2565563,-0.060724041,Ofer Far,3,0,,,714.5469028,-0.247761384,Bat Shlomo Far,3,
1101.471171,0.112805663,Bat Shlomo Far,3,0,,,722.078539,-0.240742801,Bat Shlomo Far,0,
799.3757544,-0.16871106,Bat Shlomo Far,2,0,,,768.8078218,-0.19719671,Bat Shlomo Far,1,
829.1353233,-0.140978709,Bat Shlomo Far,2,0,,,769.9832063,-0.196101393,Bat Shlomo Far,3,
829.1353233,-0.140978709,Bat Shlomo Far,2,0,,,771.112745,-0.195048798,Bat Shlomo Far,0,
1195.395128,0.200331535,Kerem Maharal Far,2,0,,,785.5700563,-0.181576317,Bat Shlomo Far,1,
1371.795981,0.364715989,Ramat Hashofet Far,2,0,,,792.4760665,-0.175140743,Bat Shlomo Far,5,
785.5700563,-0.181576317,Bat Shlomo Far,1,1,,,797.8325308,-0.17014916,Bat Shlomo Far,3,
829.1353233,-0.140978709,Bat Shlomo Far,1,0,,,798.2782901,-0.169733766,Bat Shlomo Far,4,
829.1353233,-0.140978709,Bat Shlomo Far,1,0,,,799.3757544,-0.16871106,Bat Shlomo Far,0,
874.5204629,-0.098685198,Bat Shlomo Far,1,0,,,800.8385757,-0.167347886,Bat Shlomo Far,2,
882.4139652,-0.0913294,Bat Shlomo Far,1,0,,,801.0262381,-0.167173007,Bat Shlomo Far,9,
928.835376,-0.048070208,Bat Shlomo Far,1,0,,,804.0467774,-0.164358227,Bat Shlomo Far,7,
1046.687209,0.061753576,Ofer Far,1,0,,,824.5319888,-0.145268465,Bat Shlomo Far,0,
1126.440246,0.136073848,Ramat Hashofet Far,1,0,,,829.1353233,-0.140978709,Bat Shlomo Far,35,
1190.173844,0.195465924,Kerem Maharal Far,1,0,,,829.1353233,-0.140978709,Bat Shlomo Far,9,
1210.743795,0.214634653,Kerem Maharal Far,1,0,,,829.1353233,-0.140978709,Bat Shlomo Far,5,
630.081895,-0.326472648,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,3,
658.414196,-0.300070339,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
683.764412,-0.276446976,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
685.9548327,-0.274405766,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
708.386632,-0.253502018,Bat Shlomo Far,0,5,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
714.5469028,-0.247761384,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
722.078539,-0.240742801,Bat Shlomo Far,0,0,,,829.1353233,-0.140978709,Bat Shlomo Far,0,
768.8078218,-0.19719671,Bat Shlomo Far,0,0,,,843.819212,-0.127295084,Bat Shlomo Far,0,
769.9832063,-0.196101393,Bat Shlomo Far,0,1,,,846.024496,-0.125240024,Bat Shlomo Far,2,
771.112745,-0.195048798,Bat Shlomo Far,0,0,,,869.1582584,-0.10368213,Bat Shlomo Far,0,
792.4760665,-0.175140743,Bat Shlomo Far,0,0,,,874.5204629,-0.098685198,Bat Shlomo Far,2,
797.8325308,-0.17014916,Bat Shlomo Far,0,0,,,876.974231,-0.09639858,Bat Shlomo Far,2,
798.2782901,-0.169733766,Bat Shlomo Far,0,1,,,878.032187,-0.095412692,Ofer Far,3,
800.8385757,-0.167347886,Bat Shlomo Far,0,0,,,882.4139652,-0.0913294,Bat Shlomo Far,0,
804.0467774,-0.164358227,Bat Shlomo Far,0,0,,,882.4139652,-0.0913294,Bat Shlomo Far,0,
824.5319888,-0.145268465,Bat Shlomo Far,0,0,,,891.4782923,-0.082882533,Ofer Far,3,
829.1353233,-0.140978709,Bat Shlomo Far,0,0,,,894.3584607,-0.080198561,Bat Shlomo Far,3,
