Distance,Distance_rescaled,Transect,Vulpes vulpes
418.8704218,-0.523296428,Eitanim Far,1
450.2334545,-0.494069841,Eitanim Far,0
524.9069264,-0.424483114,Eitanim Far,1
529.8769836,-0.419851617,Amatzia Far,1
529.8769836,-0.419851617,Amatzia Far,0
552.5692191,-0.398705173,Eitanim Far,0
604.8671629,-0.349969757,Eitanim Far,2
613.268005,-0.342141179,Eitanim Far,1
614.095456,-0.341370093,Aderet Far,0
617.5447004,-0.338155811,Eitanim Far,0
622.8323215,-0.333228382,Eitanim Far,0
625.5493217,-0.330696463,Eitanim Far,1
639.4849831,-0.317710097,Aderet Far,1
639.7199587,-0.317491128,Aderet Far,2
640.05384,-0.317179991,Eitanim Far,2
641.3101089,-0.316009299,Eitanim Far,0
641.3101089,-0.316009299,Eitanim Far,0
641.3101089,-0.316009299,Eitanim Far,0
641.3101089,-0.316009299,Eitanim Far,1
641.3101089,-0.316009299,Eitanim Far,0
641.3101089,-0.316009299,Eitanim Far,0
641.3101089,-0.316009299,Eitanim Far,0
641.960596,-0.315403123,Aderet Far,0
664.593869,-0.294311625,Aderet Far,2
665.9423398,-0.293055011,Eitanim Far,1
666.9483651,-0.292117516,Eitanim Far,0
669.618582,-0.289629194,Aderet Far,1
669.7115215,-0.289542586,Aderet Far,0
673.687978,-0.285837005,Eitanim Far,1
675.0436466,-0.284573684,Aderet Far,1
685.9703069,-0.274391346,Aderet Far,0
686.985862,-0.273444971,Eitanim Far,1
693.564824,-0.267314167,Eitanim Far,2
696.1260148,-0.264927444,Eitanim Far,1
704.5695822,-0.257059051,Eitanim Far,0
707.663836,-0.254175577,Eitanim Far,0
711.7261994,-0.250389941,Eitanim Far,0
712.131265,-0.250012469,Eitanim Far,1
718.5187709,-0.244060079,Aderet Far,0
718.6200541,-0.243965695,Eitanim Far,1
719.2560212,-0.24337305,Eitanim Far,0
719.466132,-0.243177252,Aderet Far,2
720.0258089,-0.2426557,Eitanim Far,0
723.9525496,-0.238996448,Eitanim Far,3
725.7499156,-0.237321518,Eitanim Far,1
725.9549171,-0.237130482,Aderet Far,0
728.439605,-0.23481505,Eshtaol Far,0
728.6449898,-0.234623656,Eitanim Far,0
729.498879,-0.233827934,Eitanim Far,0
733.1122603,-0.230460696,Eitanim Far,1
734.6951325,-0.228985648,Eitanim Far,0
736.355004,-0.227438847,Eshtaol Far,0
743.069478,-0.221181762,Aderet Far,2
745.593825,-0.218829373,Aderet Far,1
746.7251486,-0.217775115,Eitanim Far,3
757.9641104,-0.20730175,Eitanim Far,0
760.0919821,-0.205318828,Eitanim Far,4
761.4434824,-0.204059392,Aderet Far,0
762.122745,-0.203426401,Eshtaol Far,0
779.8832006,-0.186875784,Aderet Far,0
785.034951,-0.182074971,Aderet Far,7
788.9040157,-0.178469466,Aderet Far,0
799.31112,-0.168771292,Eshtaol Far,1
