Project,Subproject,Treatment,"Deployment Name","ID Type","Deployment ID","Sequence ID","Begin Time","End Time","Species Name","Common Name",Age,Sex,"Individually Identifiable",Count,"Actual Lat","Actual Lon",Fuzzed
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s1,2018-11-20T08:48:34,2018-11-20T08:48:34,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s11,2018-11-21T21:41:39,2018-11-21T21:42:26,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s12,2018-11-22T00:18:46,2018-11-22T00:18:55,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s13,2018-11-22T05:37:44,2018-11-22T05:37:45,"Unknown Animal","Unknown Animal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s14,2018-11-22T12:30:54,2018-11-22T12:30:54,"No Animal","No Animal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s16,2018-11-22T18:23:43,2018-11-22T18:23:51,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s16,2018-11-22T18:23:43,2018-11-22T18:23:51,"Lepus capensis","Cape Hare",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s17,2018-11-22T20:01:43,2018-11-22T20:01:43,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s2,2018-11-20T21:17:58,2018-11-20T21:17:59,"Unknown Animal","Unknown Animal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s20,2018-11-27T00:09:20,2018-11-27T00:09:21,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
