"","X","Project.ID","Cycle_number","year","Deployment.id_new","Unit","Subunit","Site","Settlements","Agriculture","Dunes","Lon","Lat","Monitoring_start_date","Start.date","Time.Diff","rescaled_Time.Diff","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Distance_rescaled","Transect","Transect_with_date","Distance_agri","Distance_agri_rescaled","Canis aureus","Canis lupus","Capra nubiana","Dama mesopotamica","Equus hemionus","Gazella dorcas","Gazella gazella","Hyaena hyaena","Hystrix indica","Lepus capensis","Meles meles","Oryx leucoryx","Sus scrofa","Vulpes vulpes"
"1",75,"T0",0,2014,"Beit Yatir Far 19","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",76,"T0",0,2014,"Beit Yatir Far 20","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",77,"T0",0,2014,"Beit Yatir Far 23","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",78,"T0",0,2014,"Beit Yatir Far 24","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,2,0,0,0,0,0,6,0,0,0,0,0,0,0
"5",79,"T0",0,2014,"Beit Yatir Far 26","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,1,0,0,0,0,0,5,0,0,0,0,0,0,0
"6",80,"T0",0,2014,"Beit Yatir Far 27","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Far",NA,NA,35.124834,31.369949,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,1091.636177,0.103640627,"Beit Yatir Far","Beit Yatir Far_13_07_2014",1445.22705,0.657779417,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"7",81,"T0",0,2014,"Beit Yatir Near 11","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Near",NA,NA,35.109329,31.358183,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,325.3939607,-0.610405287,"Beit Yatir Near","Beit Yatir Near_13_07_2014",190.564815,-0.50525152,6,0,0,0,0,0,0,0,0,1,0,0,0,0
"8",82,"T0",0,2014,"Beit Yatir Near 16","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Near",NA,NA,35.109329,31.358183,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,325.3939607,-0.610405287,"Beit Yatir Near","Beit Yatir Near_13_07_2014",190.564815,-0.50525152,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",83,"T0",0,2014,"Beit Yatir Near 17","Mediterranean Desert Transition Zone",NA,"Beit Yatir","Near",NA,NA,35.109329,31.358183,"29/04/2012","13/07/2014",805,-1.197176611,22,-0.008851309,-0.999960826,325.3939607,-0.610405287,"Beit Yatir Near","Beit Yatir Near_13_07_2014",190.564815,-0.50525152,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",84,"T0",0,2014,"Har Amasa Far 3","Mediterranean Desert Transition Zone",NA,"Har Amasa","Far",NA,NA,35.093329,31.330906,"29/04/2012","17/07/2014",809,-1.193720376,26,0.76255845,0.646919322,1451.458448,0.438951861,"Har Amasa Far","Har Amasa Far_17_07_2014",361.145193,-0.347129078,0,0,0,0,0,0,2,0,0,0,0,0,0,0
