deployment_id,deployment_name,proposed_date_out,proposed_retrieval_date,actual_date_out,retrieval_date,proposed_lat,proposed_long,actual_lat,actual_long,fuzzed,project_id,project_name,sub_project_id,sub_project_name,sub_project_design,plot_name,plot_treatment,camera_failure_details,deployment_notes,bait_type,bait_description,feature,feature_type_methodology,image_resolution_setting,detection_distance,sensitivity_setting,quiet_period_setting,camera_id
"d40827","T2_Beit Yatir Far 9","","","2018-11-20","2018-12-04","","","31.36937","35.12786","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","23"
"d40288","T2_Shaal Far 1","","","2018-10-10","2018-10-20","","","33.08792","35.75156","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","6"
"d40289","T2_Shaal Far 2","","","2018-10-10","2018-10-20","","","33.08815","35.75046","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","7"
"d40362","T2_Kfar Shamai Far 3","","","2017-09-28","2017-10-15","32.96587","35.45915","32.96587","35.45915","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","3"
"d40363","T2_Kfar Shamai Far 4","","","2017-09-28","2017-10-15","32.96518","35.45891","32.96518","35.45891","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","4"
"d40367","T2_Kfar Shamai Far 8","","","2017-09-28","2017-10-15","32.96372","35.45860","32.96372","35.45860","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","8"
"d40364","T2_Kfar Shamai Far 5","","","2017-09-28","2017-10-15","32.96422","35.45882","32.96422","35.45882","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","5"
"d40394","T2_Ein Yaakov Near 8","","","2017-10-20","2017-10-31","33.00571","35.22834","33.00571","35.22834","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","8"
"d40366","T2_Kfar Shamai Far 7","","","2017-09-28","2017-10-15","32.96372","35.45860","32.96712","35.46921","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","17"
"d40393","T2_Ein Yaakov Near 7","","","2017-10-20","2017-10-31","33.00580","35.22792","33.00580","35.22792","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","7"
"d40387","T2_Ein Yaakov Near 1","","","2017-10-20","2017-10-31","33.00326","35.22754","33.00326","35.22754","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","1"
"d40395","T2_Ein Yaakov Near 9","","","2017-10-20","2017-10-31","33.00580","35.22903","33.00580","35.22903","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","9"
"d40391","T2_Ein Yaakov Near 5","","","2017-10-20","2017-10-31","33.00568","35.22716","33.00568","35.22716","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","5"
"d40389","T2_Ein Yaakov Near 3","","","2017-10-20","2017-10-31","33.00562","35.22615","33.00562","35.22615","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","3"
"d40359","T2_Kfar Shamai Near 9","","","2017-09-28","2017-10-15","","","32.96201","35.45905","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Unknown Failure","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","3"
"d40603","T2_Manara KKL Plantings 1","","","2017-12-09","2017-12-19","33.17095","35.55154","33.17095","35.55154","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","1"
"d40673","T2_Bat Shlomo KKL Plantings 8","","","2017-11-18","2017-12-06","","","32.58844","35.01101","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","26"
"d40667","T2_Bat Shlomo KKL Plantings 2","","","2017-11-18","2017-12-06","","","32.58819","35.00810","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","B"
"d65208","T2_Ramat Hashofet KKL Plantings 3","","","2017-11-18","2017-12-01","","","32.61740","35.11271","False","p239","HaMaarag Project","sp1717","Hamaarag_Planted_Conifer_Forests_Carmel_T2","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest Carmel","","50","high","","26"
"d40405","T2_Goren Near 1","","","2017-10-20","2017-11-08","","","33.05612","35.22944","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","3A"
"d40734","T2_Amatzia KKL Plantings 6","","","2018-02-12","2018-03-02","","","31.51180","34.89433","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","6"
"d40736","T2_Amatzia KKL Plantings 8","","","2018-02-12","2018-02-22","","","31.51173","34.89180","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","N15"
"d40732","T2_Amatzia KKL Plantings 4","","","2018-02-12","2018-03-02","","","31.51105","34.89435","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","26"
"d40670","T2_Bat Shlomo KKL Plantings 5","","","2017-11-18","2017-12-06","","","32.58891","35.01002","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","6"
"d40666","T2_Bat Shlomo KKL Plantings 1","","","2017-11-18","2017-12-06","","","32.58815","35.00779","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","29"
"d40616","T2_Ramot Naftali KKL Plantings 5","","","2017-12-09","2017-12-17","33.09631","35.56221","33.09631","35.56221","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","5"
"d40608","T2_Manara KKL Plantings 6","","","2017-12-09","2017-12-19","33.17345","35.55035","33.17345","35.55035","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","6"
"d65207","T2_Ramat Hashofet KKL Plantings 2","","","2017-11-21","2017-12-01","","","32.61729","35.11201","False","p239","HaMaarag Project","sp1717","Hamaarag_Planted_Conifer_Forests_Carmel_T2","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest Carmel","","5","high","","11"
"d40605","T2_Manara KKL Plantings 3","","","2017-12-09","2017-12-17","33.17169","35.55074","33.17169","35.55074","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","3"
"d40610","T2_Manara KKL Plantings 8","","","2017-12-08","2017-12-18","33.17486","35.54966","33.17486","35.54966","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","8"
"d40417","T2_Goren Far 4","","","2017-10-20","2017-11-08","","","33.05531","35.23134","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","15A"
"d40404","T2_Ein Yaakov Far 9","","","2017-10-20","2017-10-31","33.00284","35.23130","33.00284","35.23130","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","9"
"d40422","T2_Goren Far 9","","","2017-10-20","2017-11-08","","","33.05451","35.25561","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","15"
"d40730","T2_Amatzia KKL Plantings 2","","","2018-02-12","2018-03-02","","","31.50919","34.89406","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","1"
"d40674","T2_Bat Shlomo KKL Plantings 9","","","2017-11-18","2017-12-06","","","32.58833","35.01123","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","33"
"d40611","T2_Manara KKL Plantings 9","","","2017-12-08","2017-12-16","33.17521","35.54988","33.17521","35.54988","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","9"
"d40609","T2_Manara KKL Plantings 7","","","2017-12-08","2107-12-18","33.17384","35.55028","33.17384","35.55028","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","7"
"d40399","T2_Ein Yaakov Far 4","","","2017-10-20","2017-10-31","33.00272","35.22830","33.00272","35.22830","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","4"
