,Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Monitoring_start_date,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Distance_rescaled,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
1,T0,0,2014,Ein Yahav Far 46,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,3198.840292,2.067302323,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.90738068,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,T0,0,2014,Ein Yahav Far 47,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,3198.840292,2.067302323,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.90738068,0,0,0,0,0,1,0,0,0,2,0,0,0,0
3,T0,0,2014,Ein Yahav Far 48,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,3198.840292,2.067302323,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.90738068,0,0,0,0,0,4,0,0,0,0,0,0,0,0
4,T0,0,2014,Ein Yahav Far 50,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,3198.840292,2.067302323,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.90738068,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,T0,0,2014,Ein Yahav Far 53,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,3198.840292,2.067302323,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.90738068,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,T0,0,2014,Ein Yahav Near 20,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,1096.898329,0.108544322,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.522038234,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,T0,0,2014,Ein Yahav Near 23,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,1096.898329,0.108544322,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.522038234,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,T0,0,2014,Ein Yahav Near 24,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,1096.898329,0.108544322,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.522038234,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,T0,0,2014,Lotan Far 28,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,17,0,0,0,0,1,0,0,0,0,0,0
10,T0,0,2014,Lotan Far 29,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,1,0,13,0,0,0,0,1,0,0,0,0,0,0
11,T0,0,2014,Lotan Far 30,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,T0,0,2014,Lotan Far 31,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,55,0,0,0,0,2,0,0,0,0,0,0
13,T0,0,2014,Lotan Far 32,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,32,0,0,0,0,0,0,0,0,0,0,0
14,T0,0,2014,Lotan Far 34,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,17,0,0,0,0,1,0,0,0,0,0,0
15,T0,0,2014,Lotan Far 35,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,20,0,0,0,0,0,0,0,0,0,0,0
16,T0,0,2014,Lotan Far 36,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1527.627305,0.509932107,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.839108239,0,0,9,0,0,0,0,0,0,0,0,0,0,0
17,T0,0,2014,Lotan Near 24,Arid Desert,NA,Lotan,NA,Near,NA,35.078905,29.974382,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1067.502571,0.081150999,Lotan Near,Lotan Near_22_05_2014,0,-0.681898884,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,T0,0,2014,Paran Far 50,Arid Desert,NA,Paran,NA,Far,NA,35.131286,30.344311,29/04/2012,26/05/2014,757,-1.238651431,-26,-0.76255845,0.646919322,2452.388356,1.371698578,Paran Far,Paran Far_26_05_2014,1804.614774,0.990920106,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,T0,0,2014,Paran Far 53,Arid Desert,NA,Paran,NA,Far,NA,35.131286,30.344311,29/04/2012,26/05/2014,757,-1.238651431,-26,-0.76255845,0.646919322,2452.388356,1.371698578,Paran Far,Paran Far_26_05_2014,1804.614774,0.990920106,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,T0,0,2014,Yotvata Far 11,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,4,0,0,0,0,0,0,0,0,0,0,0
21,T0,0,2014,Yotvata Far 12,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,3,0,0,0,0,0,0,0,0,0,0,0
22,T0,0,2014,Yotvata Far 13,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,7,0,0,0,0,0,0,0,0,0,0,0
23,T0,0,2014,Yotvata Far 15,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,3,0,0,0,0,0,0,0,0,0,0,0
24,T0,0,2014,Yotvata Far 16,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,6,0,0,1,0,0,0,0,0,0,0,0
25,T0,0,2014,Yotvata Far 18,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,29/04/2012,22/05/2014,753,-1.242107666,-30,0.988031624,0.15425145,1349.998495,0.344403344,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.017217791,0,0,3,0,0,0,0,0,0,0,0,0,0,0
26,T0,0,2014,Yotvata Near 3,Arid Desert,NA,Yotvata,NA,Near,NA,35.067509,29.889448,29/04/2012,16/05/2014,747,-1.247292018,-36,0.991778853,-0.12796369,232.7139415,-0.696771958,Yotvata Near,Yotvata Near_16_05_2014,137.826558,-0.554138163,3,0,0,0,0,0,0,2,0,1,0,0,0,1
27,T0,0,2014,Yotvata Near 7,Arid Desert,NA,Yotvata,NA,Near,NA,35.067509,29.889448,29/04/2012,16/05/2014,747,-1.247292018,-36,0.991778853,-0.12796369,232.7139415,-0.696771958,Yotvata Near,Yotvata Near_16_05_2014,137.826558,-0.554138163,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,T0,0,2014,Zofar Far 37,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,803.6579307,-0.164720585,Zofar Far,Zofar Far_12_06_2014,829.564938,0.087080735,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,T0,0,2014,Zofar Far 39,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,803.6579307,-0.164720585,Zofar Far,Zofar Far_12_06_2014,829.564938,0.087080735,0,0,0,0,0,0,0,0,3,0,0,0,0,0
30,T0,0,2014,Zofar Far 40,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,803.6579307,-0.164720585,Zofar Far,Zofar Far_12_06_2014,829.564938,0.087080735,0,0,0,0,0,0,0,0,2,1,0,0,0,0
31,T0,0,2014,Zofar Far 41,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,803.6579307,-0.164720585,Zofar Far,Zofar Far_12_06_2014,829.564938,0.087080735,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,T0,0,2014,Zofar Far 42,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,803.6579307,-0.164720585,Zofar Far,Zofar Far_12_06_2014,829.564938,0.087080735,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,T0,0,2014,Zofar Near 11,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,666.6563752,-0.292389616,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.462342236,0,0,0,0,0,0,0,0,0,5,0,0,0,0
34,T0,0,2014,Zofar Near 13,Arid Desert,NA,Zofar,NA,Near,NA,35.192205,30.568179,29/04/2012,12/06/2014,774,-1.223962432,-9,-0.412118485,-0.911130262,666.6563752,-0.292389616,Zofar Near,Zofar Near_12_06_2014,236.854778,-0.462342236,0,0,0,0,0,0,0,1,0,0,0,0,0,0
