Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,0,2014,Ein Yahav Far 46,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,3198.840292,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.899477682,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T0,0,2014,Ein Yahav Far 47,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,3198.840292,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.899477682,0,0,0,0,0,1,0,0,0,2,0,0,0,0
T0,0,2014,Ein Yahav Far 48,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,3198.840292,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.899477682,0,0,0,0,0,4,0,0,0,0,0,0,0,0
T0,0,2014,Ein Yahav Far 50,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,3198.840292,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.899477682,0,0,0,0,0,2,0,0,0,0,0,0,0,0
T0,0,2014,Ein Yahav Far 53,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.199492,30.646855,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,3198.840292,Ein Yahav Far,Ein Yahav Far_12_06_2014,1714.493558,0.899477682,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T0,0,2014,Ein Yahav Near 20,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,1096.898329,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.524060511,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T0,0,2014,Ein Yahav Near 23,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,1096.898329,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.524060511,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T0,0,2014,Ein Yahav Near 24,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.244327,30.671342,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,1096.898329,Ein Yahav Near,Ein Yahav Near_12_06_2014,172.455533,-0.524060511,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T0,0,2014,Lotan Far 28,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1527.627305,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.831486119,0,0,17,0,0,0,0,1,0,0,0,0,0,0
T0,0,2014,Lotan Far 29,Arid Desert,NA,Lotan,NA,Far,NA,35.068248,29.992544,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1527.627305,Lotan Far,Lotan Far_22_05_2014,1640.842161,0.831486119,1,0,13,0,0,0,0,1,0,0,0,0,0,0
