"","Project.ID","Site","total.count"
"1","T0","Gamla",6
"2","T0","Karei Deshe",15
"3","T0","Natur",23
"4","T0","Shaal",5
"5","T0","Yavneel",27
"6","T1","Gamla",5
"7","T1","Karei Deshe",1
"8","T1","Natur",5
"9","T1","Shaal",4
"10","T1","Yavneel",1
"11","T2","Gamla",37
"12","T2","Karei Deshe",3
"13","T2","Natur",16
"14","T2","Shaal",9
"15","T2","Yavneel",1
"16","T3","Gamla",0
"17","T3","Karei Deshe",19
"18","T3","Natur",59
"19","T3","Shaal",0
"20","T3","Yavneel",3
"21","T4","Gamla",5
"22","T4","Karei Deshe",91
"23","T4","Natur",83
"24","T4","Shaal",37
"25","T4","Yavneel",9
