"","Unit","Settlements","Agriculture","settle_dist_median","agri_dist_median"
"1","Arid Desert",NA,"Far",2012.277317,1524.171097
"2","Arid Desert",NA,"Near",444.00019955,224.345418
"3","Herbaceous and Dwarf Shrub Vegetation","Far",NA,1638.927167,839.221023
"4","Inland Sands",NA,"Far",4746.67319,2196.422751
"5","Inland Sands",NA,"Near",1406.894313,192.656165
"6","Mediterranean Desert Transition Zone","Far",NA,1153.53838,240.566294
"7","Mediterranean Desert Transition Zone","Near",NA,324.43002555,186.1629145
"8","Mediterranean Maquis","Far",NA,633.0762975,422.524602
"9","Mediterranean Maquis","Near",NA,85.70250566,134.7412245
"10","Negev Highlands","Far",NA,1515.247078,1245.89863
"11","Negev Highlands","Near",NA,298.681177,831.142981
"12","Planted Conifer Forests","Far",NA,1029.710034,345.480958
